City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,2.89,92,100,0.59,GL,1689531991
1,wuchang,44.9143,127.15,17.61,99,100,3.35,CN,1689531992
2,ust-nera,64.5667,143.2,9.24,85,44,3.59,RU,1689531992
3,edinburgh of the seven seas,-37.0676,-12.3116,13.13,78,17,13.0,SH,1689531992
4,wad medani,14.4012,33.5199,33.44,37,23,4.93,SD,1689531993
5,alibag,18.6411,72.8792,26.04,85,100,5.14,IN,1689531993
6,susuman,62.7833,148.1667,14.66,86,46,2.13,RU,1689531994
7,tiksi,71.6872,128.8694,4.49,93,100,2.35,RU,1689531994
8,viale,-31.8678,-60.0072,12.82,40,76,3.76,AR,1689531995
9,kavaratti,10.5669,72.642,28.24,80,100,7.21,IN,1689531777
10,west bay,19.3667,-81.4167,33.04,81,20,5.66,KY,1689531995
11,thompson,55.7435,-97.8558,15.09,63,100,3.09,CA,1689531954
12,iqaluit,63.7506,-68.5145,8.85,93,100,2.06,CA,1689531997
13,adamstown,-25.066,-130.1015,20.91,79,100,2.82,PN,1689531998
14,longyearbyen,78.2186,15.6401,13.91,54,0,5.66,SJ,1689531988
15,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1689531998
16,grytviken,-54.2811,-36.5092,-5.5,72,50,2.16,GS,1689531999
17,port-aux-francais,-49.35,70.2167,1.78,58,60,12.81,TF,1689531999
18,sao tome,0.3365,6.7273,24.57,81,91,4.35,ST,1689532000
19,invercargill,-46.4,168.35,8.35,89,65,6.27,NZ,1689532000
20,bubaque,11.2833,-15.8333,27.73,78,69,7.24,GW,1689532001
21,azul,-36.777,-59.8585,9.7,46,2,6.48,AR,1689532001
22,albany,42.6001,-73.9662,27.73,82,100,1.34,US,1689532001
23,neiafu,-18.65,-173.9833,22.38,78,75,4.12,TO,1689532002
24,puerto natales,-51.7236,-72.4875,6.25,56,75,8.75,CL,1689532002
25,crucecita,-28.95,-58.9833,17.59,48,0,3.23,AR,1689532003
26,badger,64.8,-147.5333,18.06,75,100,1.54,US,1689532003
27,atafu village,-8.5421,-172.5159,28.4,75,97,6.69,TK,1689532003
28,waitangi,-43.9535,-176.5597,8.79,96,100,0.45,NZ,1689532004
29,benguela,-12.5763,13.4055,21.13,86,32,0.58,AO,1689532004
30,shanhecun,44.7,127.2,17.47,98,100,3.53,CN,1689532005
31,lihue,21.9789,-159.3672,25.77,75,75,7.2,US,1689532005
32,port lincoln,-34.7333,135.8667,9.0,71,0,2.92,AU,1689531807
33,punta arenas,-53.15,-70.9167,4.06,81,75,5.14,CL,1689532006
34,severobaykal'sk,55.65,109.3167,13.69,79,14,0.9,RU,1689532006
35,anadyr,64.75,177.4833,16.28,77,0,2.0,RU,1689532007
36,kone,-21.0595,164.8658,17.52,70,47,2.35,NC,1689532007
37,port elizabeth,-33.918,25.5701,15.16,82,0,3.09,ZA,1689532007
38,luderitz,-26.6481,15.1594,18.76,46,0,4.45,NA,1689532008
39,margaret river,-33.95,115.0667,15.94,78,86,6.82,AU,1689532008
40,laghouat,33.8,2.8651,36.81,6,0,6.0,DZ,1689532009
41,alofi,-19.0595,-169.9187,19.94,94,100,3.6,NU,1689532009
